,STATE,YEAR_x,GRAD_PERCENT,TOTAL_REVENUE,LOCAL_REVENUE,STATE_REVENUE,FEDERAL_REVENUE,LOCAL_PERCENT,FED_PERCENT,STATE_PERCENT,TOTAL_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,INSTRUCTION_EXPENDITURE
31,NEW_JERSEY,2010,63.0,26676217.0,15229841.0,9059511.0,2386865.0,0.5709145715826198,0.08947539300643716,0.33961003541094303,26736651.0,8958765.0,14481471.0
32,NEW_MEXICO,2010,77.0,3638606.0,576947.0,2307843.0,753816.0,0.15856264734351563,0.2071716476035053,0.6342657050529791,3814058.0,1178045.0,1800983.0
33,NEW_YORK,2010,78.0,55453300.0,28647823.0,23111427.0,3694050.0,0.5166116894756488,0.0666155125123302,0.41677279801202094,60067253.0,14152383.0,36628097.0
34,NORTH_CAROLINA,2010,86.0,16621268.0,7242123.0,7451302.0,1927843.0,0.43571423070730825,0.11598651799609994,0.4482992512965918,14162497.0,3873929.0,7637844.0
35,NORTH_DAKOTA,2010,80.0,1308214.0,477613.0,552616.0,277985.0,0.36508782202300233,0.21249199290024415,0.4224201850767535,1267426.0,342204.0,627378.0
36,OHIO,2010,,23247907.0,10949735.0,9987732.0,2310440.0,0.47099874410199594,0.09938271002202478,0.4296185458759793,22701333.0,7468941.0,10976072.0
37,OKLAHOMA,2010,68.0,5778507.0,2352002.0,2658186.0,768319.0,0.40702589786600585,0.13296150718516045,0.4600125949488337,5971651.0,1901671.0,2900568.0
38,OREGON,2010,83.0,6219779.0,2459055.0,2947614.0,813110.0,0.39536051039755593,0.13072972528445143,0.47390976431799264,6398065.0,2054025.0,3246437.0
39,PENNSYLVANIA,2010,77.0,27883991.0,15475955.0,9430947.0,2977089.0,0.5550121931971647,0.10676696173083688,0.33822084507199845,28231191.0,7774897.0,13442543.0
40,RHODE_ISLAND,2010,74.0,2207123.0,1223381.0,736525.0,247217.0,0.5542876405166364,0.11200870998127427,0.33370364950208936,2187163.0,758963.0,1238257.0
41,SOUTH_CAROLINA,2010,83.0,7755419.0,3319407.0,3377539.0,1058473.0,0.42801130409588445,0.13648172974277728,0.43550696616133827,8242553.0,2445636.0,3797945.0
42,SOUTH_DAKOTA,2010,86.0,1292742.0,643587.0,398601.0,250554.0,0.4978464380363599,0.19381593543027148,0.3083376265333686,1281632.0,382212.0,660064.0
43,TENNESSEE,2010,86.0,8405025.0,3476558.0,3834174.0,1094293.0,0.41362851389496164,0.1301950916267352,0.45617639447830316,8760367.0,2516326.0,4934044.0
44,TEXAS,2010,76.0,50559500.0,23675321.0,18899565.0,7984614.0,0.4682665176673029,0.15792509815168268,0.3738083841810145,53810244.0,14179639.0,25097921.0
45,UTAH,2010,87.0,4250259.0,1508069.0,2171889.0,570301.0,0.3548181416708958,0.13418029348329125,0.5110015648458129,4326951.0,1002867.0,2117551.0
46,VERMONT,2010,82.0,1749898.0,249842.0,1326528.0,173528.0,0.14277517889614139,0.09916463702455801,0.7580601840793006,1719870.0,509650.0,890606.0
47,VIRGINIA,2010,76.0,14937195.0,7915444.0,5489710.0,1532041.0,0.5299150208590033,0.10256550845054911,0.36751947069044755,14919831.0,4654459.0,8049137.0
48,WASHINGTON,2010,78.0,11919090.0,3586676.0,6931430.0,1400984.0,0.30091861039727025,0.11754118812761713,0.5815402014751127,11820814.0,3402730.0,5934710.0
49,WEST_VIRGINIA,2010,87.0,3176874.0,985335.0,1677745.0,513794.0,0.3101586654050491,0.16172942332620052,0.5281119112687503,3484593.0,1094980.0,1978226.0
50,WISCONSIN,2010,80.0,11289720.0,5222459.0,4951919.0,1115342.0,0.46258534312631316,0.09879270699361897,0.43862194988006786,11116821.0,3455651.0,5994721.0
51,WYOMING,2010,75.0,1718605.0,713747.0,880916.0,123942.0,0.4153060185441099,0.07211779321019082,0.5125761882456993,1696177.0,504838.0,787627.0
52,ALABAMA,2011,70.0,7376725.0,2334041.0,3965614.0,1077070.0,0.31640612873599055,0.1460092385170926,0.5375846327469168,7411768.0,2295909.0,3844055.0
53,ALASKA,2011,76.0,2357828.0,521513.0,1416163.0,420152.0,0.22118364868005638,0.17819450782669474,0.6006218434932489,2443898.0,908567.0,1215062.0
54,ARIZONA,2011,84.0,8429186.0,4128871.0,3054501.0,1245814.0,0.4898303347440666,0.1477976639737218,0.3623720012822116,8610417.0,2935127.0,3977772.0
55,ARKANSAS,2011,79.0,5176362.0,648112.0,3701224.0,827026.0,0.12520608102756337,0.1597697378970018,0.7150241810754349,5669431.0,1655684.0,2559292.0
56,CALIFORNIA,2011,75.0,70953331.0,23210398.0,37752712.0,9990221.0,0.3271220346230116,0.14079988718218175,0.5320780781948067,69847705.0,20266047.0,34225248.0
57,COLORADO,2011,85.0,8747471.0,4284260.0,3493923.0,969288.0,0.4897712721768383,0.11080779804814443,0.39942092977501725,8676451.0,2804955.0,4204486.0
58,CONNECTICUT,2011,80.0,9783168.0,5801511.0,3185501.0,796156.0,0.59300944234015,0.0813801827792388,0.3256103748806113,9439182.0,2844490.0,5363942.0
59,DELAWARE,2011,59.0,1759170.0,556962.0,1010026.0,192182.0,0.31660498985316937,0.1092458375256513,0.5741491726211793,1808905.0,497158.0,964284.0
60,DISTRICT_OF_COLUMBIA,2011,75.0,1283071.0,1127566.0,0.0,155505.0,0.8788024980690858,0.12119750193091419,0.0,1297175.0,389526.0,525185.0
61,FLORIDA,2011,70.0,26453693.0,12674198.0,9069119.0,4710376.0,0.47910883368911855,0.17806118790295178,0.34282997840792967,26991946.0,8077593.0,14284224.0
62,GEORGIA,2011,81.0,18030043.0,8270393.0,7492489.0,2267161.0,0.45870068085805454,0.12574351597497577,0.4155558031669697,17187481.0,5005101.0,9671343.0
63,HAWAII,2011,,2499513.0,63280.0,2088870.0,347363.0,0.02531693173830262,0.13897227179854635,0.835710796463151,2259104.0,786284.0,1253534.0
